date,station_id,station_name,season,total_population,occupancy_percent,scientists,engineers,technicians,logistics,medical,visitors,weather_type,temperature_c,wind_speed_kmh,wind_gust_kmh,humidity_percent,pressure_hpa,snowfall_cm,snow_depth_cm,visibility_m,solar_radiation_wm2,solar_daylight_hours,solar_elevation_deg,weather_severity,accommodation_load_kw,laboratory_load_kw,kitchen_load_kw,heating_load_kw,water_plant_load_kw,communication_load_kw,lighting_load_kw,emergency_load_kw,total_load_kw,solar_generation_kw,battery_soc_percent,battery_charge_kw,battery_discharge_kw,generator_status,active_generators,generator_output_kw,generator_runtime_hours,power_margin_kw,renewable_share_percent,overload_flag,load_shedding_kwh,power_shortage_event,daily_load_energy_kwh,solar_energy_kwh,solar_to_load_kwh,battery_to_load_kwh,generator_energy_kwh,unserved_energy_kwh,fuel_stock_liters,fuel_consumed_today_liters,fuel_days_remaining,fuel_status,fuel_efficiency_l_per_kwh,refuel_event,refuel_quantity_liters,fuel_shipment_status,fuel_shipments_pending,fuel_eta_days,fuel_received_today_liters,fuel_shortage_event,fuel_shipment_created_today,fuel_shipment_delayed_today,fuel_delivery_days,chp_waste_heat_kw,daily_water_consumption_liters,daily_water_production_liters,water_storage_liters,water_balance_liters,water_days_remaining,water_status,water_quality_index,snow_melting_plant_status,water_refill_event,water_shortage_event,water_emergency,water_plant_utilisation_percent,inventory_health_score,critical_items,low_items,delayed_shipments,expired_items,inventory_orders_pending,inventory_eta_days,inventory_batch_count,expired_quantity,received_today,inventory_shortage_items,inventory_orders_created_today,connectivity_status,bandwidth_mbps,latency_ms,packet_loss_percent,sync_mode,buffered_data_mb,offline_duration_days,signal_quality_percent,buffer_uploaded_today_mb,communication_outage_event,power_risk,fuel_risk,inventory_risk,weather_risk,water_risk,connectivity_risk,occupancy_risk,overall_risk_score,overall_risk_level,top_risk_factor,top_risk_reason,risk_score,risk_level,station_health,risk_breakdown
2003-01-01,BHARATI,Bharati,SUMMER,40,85.11,14,10,8,5,2,1,NORMAL,-1.98,17.58,27.7,75.7,995.6,1.57,16.48,4664.74,449.41,24.0,43.6,17.86,42.0,46.0,20.0,19.19,18.0,6.9,5.25,4.0,161.34,13.48,74.69,0.0,32.05,NORMAL,3,177.66,18.0,242.34,8.9,False,0.0,False,3636.66,323.58,323.57,769.12,3197.87,0.0,284004.16,995.84,285.2,GOOD,0.31,False,0.0,Planned,1,52,0.0,False,True,False,-1,164.03,2340.0,6533.77,150000.0,4193.77,64.1,GOOD,97.31,RUNNING,False,False,False,93.34,100.0,0,0,0,0,1,180,28,0.0,0.0,0,1,ONLINE,30.8,1060,4.2,REALTIME,0.0,0,88.0,0.0,False,0.0,6.0,0.0,9.82,0.0,0.0,0.0,2.18,LOW,weather,weather within operating envelope,2.18,LOW,97.82,"{'power': 0.0, 'fuel': 6.0, 'inventory': 0.0, 'weather': 9.82, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 0.0}"
2003-01-01,MAITRI,Maitri,SUMMER,40,85.11,14,10,8,5,2,1,NORMAL,-5.48,23.97,34.09,57.7,995.6,0.88,5.76,4664.74,413.06,24.0,42.24,19.3,42.0,46.0,20.0,35.25,18.0,6.9,5.25,4.0,177.4,7.74,74.77,0.0,25.87,NORMAL,3,197.42,19.0,152.58,4.62,False,0.0,False,4022.1,185.88,185.87,621.0,3751.0,0.0,268982.74,1017.26,264.4,GOOD,0.27,False,0.0,Planned,1,55,0.0,False,True,False,-1,147.27,2340.0,3152.0,120000.0,812.0,51.3,GOOD,96.54,RUNNING,False,False,False,63.04,100.0,0,0,0,0,1,180,28,0.0,0.0,0,1,ONLINE,30.8,1060,4.2,REALTIME,0.0,0,88.0,0.0,False,0.0,6.0,0.0,10.62,0.0,0.0,0.0,2.26,LOW,weather,weather within operating envelope,2.26,LOW,97.74,"{'power': 0.0, 'fuel': 6.0, 'inventory': 0.0, 'weather': 10.62, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 0.0}"
2003-01-02,BHARATI,Bharati,SUMMER,40,85.11,14,10,8,5,2,1,NORMAL,-2.83,22.22,39.04,78.25,998.25,1.42,17.79,4034.75,451.24,24.0,43.52,20.42,42.0,46.0,20.0,8.0,18.0,7.64,5.94,4.0,151.58,13.54,74.77,0.0,23.06,LOW,2,167.31,19.0,252.69,9.55,False,0.0,False,3402.42,324.89,324.89,553.46,3178.9,0.0,283015.7,988.46,286.3,GOOD,0.31,False,0.0,Planned,1,51,0.0,False,False,False,-1,154.14,2340.0,6580.75,150000.0,4240.75,64.1,GOOD,96.76,RUNNING,False,False,False,94.01,100.0,0,0,0,0,1,179,28,0.0,0.0,0,0,ONLINE,30.8,1060,4.2,REALTIME,0.0,0,88.0,0.0,False,0.0,6.0,0.0,11.23,0.0,0.0,0.0,2.32,LOW,weather,weather within operating envelope,2.32,LOW,97.68,"{'power': 0.0, 'fuel': 6.0, 'inventory': 0.0, 'weather': 11.23, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 0.0}"
2003-01-02,MAITRI,Maitri,SUMMER,42,89.36,15,10,8,5,2,2,NORMAL,-4.2,30.96,52.56,57.88,994.22,0.01,5.62,7188.6,411.93,24.0,42.16,15.39,43.5,48.3,20.7,8.0,18.5,6.68,5.24,4.0,154.92,7.72,74.83,0.0,18.9,NORMAL,3,168.48,20.0,181.52,5.34,False,0.0,False,3472.19,185.37,185.36,453.5,3369.66,0.0,267933.66,1049.08,255.4,GOOD,0.31,False,0.0,Planned,1,54,0.0,False,False,False,-1,155.51,2457.0,4822.27,120000.0,2365.27,48.8,GOOD,97.59,RUNNING,False,False,False,96.45,100.0,0,0,0,0,1,179,28,0.0,0.0,0,0,ONLINE,30.8,1060,4.2,REALTIME,0.0,0,88.0,0.0,False,0.0,6.0,0.0,8.46,0.0,0.0,0.0,2.05,LOW,weather,weather within operating envelope,2.05,LOW,97.95,"{'power': 0.0, 'fuel': 6.0, 'inventory': 0.0, 'weather': 8.46, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 0.0}"
2003-01-03,BHARATI,Bharati,SUMMER,41,87.23,15,10,8,5,2,1,CLEAR,-0.38,3.89,28.27,73.13,999.09,0.0,17.77,12905.53,611.04,24.0,43.43,1.23,42.75,47.15,20.35,8.0,18.25,8.12,5.36,4.0,153.98,18.33,74.69,0.0,23.09,NORMAL,3,173.03,18.0,246.97,12.73,False,0.0,False,3454.82,439.95,439.95,554.27,3114.5,0.0,282045.69,970.01,290.8,GOOD,0.31,False,0.0,Planned,1,50,0.0,False,False,False,-1,159.79,2398.5,7008.33,150000.0,4609.83,62.5,GOOD,97.98,RUNNING,False,False,False,100.0,100.0,0,0,0,0,1,178,28,0.0,0.0,0,0,ONLINE,33.6,700,1.4,REALTIME,0.0,0,96.0,0.0,False,0.0,6.0,0.0,0.68,0.0,0.0,0.0,1.27,LOW,fuel,fuel shipment pending,1.27,LOW,98.73,"{'power': 0.0, 'fuel': 6.0, 'inventory': 0.0, 'weather': 0.68, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 0.0}"
2003-01-03,MAITRI,Maitri,SUMMER,42,89.36,15,10,8,5,2,2,CLEAR,-3.95,34.56,59.38,54.5,998.18,0.0,5.45,13114.03,557.34,24.0,42.07,10.89,43.5,48.3,20.7,8.0,18.5,7.34,5.07,4.0,155.41,10.45,74.83,0.0,18.92,NORMAL,3,165.77,20.0,184.23,7.2,False,0.0,False,3483.94,250.8,250.81,453.99,3315.48,0.0,266901.39,1032.27,258.6,GOOD,0.31,False,0.0,Planned,1,53,0.0,False,False,False,-1,153.02,2457.0,5133.85,120000.0,2676.85,48.8,GOOD,97.04,RUNNING,False,False,False,100.0,100.0,0,0,0,0,1,178,28,0.0,0.0,0,0,ONLINE,33.6,700,1.4,REALTIME,0.0,0,96.0,0.0,False,0.0,6.0,0.0,5.99,0.0,0.0,0.0,1.8,LOW,fuel,fuel shipment pending,1.8,LOW,98.2,"{'power': 0.0, 'fuel': 6.0, 'inventory': 0.0, 'weather': 5.99, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 0.0}"
2003-01-04,BHARATI,Bharati,SUMMER,43,91.49,15,10,9,5,2,2,CLEAR,-1.23,11.73,40.66,68.86,1003.21,0.0,17.71,12424.13,609.47,24.0,43.33,3.69,44.25,49.45,21.05,8.0,18.75,6.54,4.75,4.0,156.79,18.28,74.77,0.0,23.06,LOW,3,167.07,19.0,252.93,12.5,False,0.0,False,3511.87,438.82,438.82,553.46,3174.41,0.0,281057.15,988.54,284.3,GOOD,0.31,False,0.0,Planned,1,49,0.0,False,False,False,-1,154.26,2515.5,5997.17,150000.0,3481.67,59.6,GOOD,97.68,RUNNING,False,False,False,85.67,100.0,0,0,0,0,1,177,28,0.0,0.0,0,0,ONLINE,33.6,700,1.4,REALTIME,0.0,0,96.0,0.0,False,0.0,6.0,0.0,2.03,0.0,0.0,22.0,3.6,LOW,occupancy,high occupancy (>90%),3.6,LOW,96.4,"{'power': 0.0, 'fuel': 6.0, 'inventory': 0.0, 'weather': 2.03, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 22.0}"
2003-01-04,MAITRI,Maitri,SUMMER,41,87.23,15,10,8,5,2,1,HIGH_WIND,-7.9,53.77,85.55,54.99,989.15,1.73,6.91,2508.81,294.71,24.0,41.97,34.69,42.75,47.15,20.35,8.0,18.25,6.84,4.55,4.0,151.89,5.53,74.83,0.0,18.92,NORMAL,3,167.72,20.0,182.28,3.9,False,0.0,False,3404.66,132.62,132.62,453.99,3354.39,0.0,265857.03,1044.36,254.6,GOOD,0.31,False,0.0,Planned,1,52,0.0,False,False,False,-1,154.81,2398.5,3382.0,120000.0,983.5,50.0,GOOD,97.68,RUNNING,False,False,False,67.64,100.0,0,0,0,0,1,177,28,0.0,0.0,0,0,ONLINE,22.75,2095,12.25,REALTIME,0.0,0,65.0,0.0,False,0.0,6.0,0.0,19.08,0.0,0.0,0.0,3.11,LOW,weather,weather within operating envelope,3.11,LOW,96.89,"{'power': 0.0, 'fuel': 6.0, 'inventory': 0.0, 'weather': 19.08, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 0.0}"
2003-01-05,BHARATI,Bharati,SUMMER,43,91.49,15,10,9,5,2,2,CLEAR,0.07,11.61,32.65,69.6,1002.93,0.0,17.6,13028.87,607.66,24.0,43.23,3.66,44.25,49.45,21.05,8.0,18.75,6.99,5.43,4.0,157.92,18.23,74.77,0.0,23.09,NORMAL,3,168.53,19.0,251.47,12.36,False,0.0,False,3538.99,437.52,437.51,554.27,3202.03,0.0,280060.01,997.14,280.9,GOOD,0.31,False,0.0,Planned,1,48,0.0,False,False,False,-1,155.6,2515.5,6109.67,150000.0,3594.17,59.6,GOOD,97.23,RUNNING,False,False,False,87.28,100.0,0,0,0,0,1,176,28,0.0,0.0,0,0,ONLINE,33.6,700,1.4,REALTIME,0.0,0,96.0,0.0,False,0.0,6.0,0.0,2.01,0.0,0.0,22.0,3.6,LOW,occupancy,high occupancy (>90%),3.6,LOW,96.4,"{'power': 0.0, 'fuel': 6.0, 'inventory': 0.0, 'weather': 2.01, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 22.0}"
2003-01-05,MAITRI,Maitri,SUMMER,41,87.23,15,10,8,5,2,1,HIGH_WIND,-7.81,60.98,82.02,60.07,984.84,0.33,6.94,3655.23,293.98,24.0,41.87,33.17,42.75,47.15,20.35,8.0,18.25,6.99,5.43,4.0,152.92,5.51,74.83,0.0,18.92,NORMAL,3,168.97,20.0,181.03,3.86,False,0.0,False,3429.38,132.29,132.29,453.99,3379.44,0.0,264804.92,1052.11,251.7,GOOD,0.31,False,0.0,Planned,1,51,0.0,False,False,False,-1,155.95,2398.5,3388.0,120000.0,989.5,50.0,GOOD,97.38,RUNNING,False,False,False,67.76,100.0,0,0,0,0,1,176,28,0.0,0.0,0,0,ONLINE,22.75,2095,12.25,REALTIME,0.0,0,65.0,0.0,False,0.0,6.0,0.0,18.24,0.0,0.0,0.0,3.02,LOW,weather,weather within operating envelope,3.02,LOW,96.98,"{'power': 0.0, 'fuel': 6.0, 'inventory': 0.0, 'weather': 18.24, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 0.0}"
2003-01-06,BHARATI,Bharati,SUMMER,45,95.74,16,11,9,5,2,2,CLEAR,1.47,3.1,21.17,67.02,1006.1,0.0,16.41,14306.13,602.74,24.0,43.12,0.98,45.75,51.75,21.75,8.0,19.25,7.78,6.0,4.0,164.28,18.08,74.77,0.0,23.09,NORMAL,3,176.2,19.0,243.8,11.79,False,0.0,False,3681.23,433.97,433.97,554.27,3347.81,0.0,279017.69,1042.32,267.7,GOOD,0.31,False,0.0,En Route,1,47,0.0,False,False,False,-1,162.64,2632.5,7207.6,150000.0,4575.1,57.0,GOOD,97.8,RUNNING,False,False,False,100.0,100.0,0,0,0,0,1,175,28,0.0,0.0,0,0,ONLINE,33.6,700,1.4,REALTIME,0.0,0,96.0,0.0,False,0.0,6.0,0.0,0.54,0.0,0.0,22.0,3.45,LOW,occupancy,high occupancy (>90%),3.45,LOW,96.55,"{'power': 0.0, 'fuel': 6.0, 'inventory': 0.0, 'weather': 0.54, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 22.0}"
2003-01-06,MAITRI,Maitri,SUMMER,40,85.11,14,10,8,5,2,1,NORMAL,-8.04,19.36,42.86,56.14,991.67,0.59,7.43,7657.92,411.4,24.0,41.76,12.41,42.0,46.0,20.0,8.0,18.0,8.3,6.0,4.0,152.3,7.71,74.83,0.0,18.92,NORMAL,3,165.85,20.0,184.15,5.41,False,0.0,False,3419.7,185.13,185.14,453.99,3316.91,0.0,263772.15,1032.77,255.4,GOOD,0.31,False,0.0,En Route,1,50,0.0,False,False,False,-1,153.09,2340.0,3486.0,120000.0,1146.0,51.3,GOOD,97.63,RUNNING,False,False,False,69.72,100.0,0,0,0,0,1,175,28,0.0,0.0,0,0,ONLINE,30.8,1060,4.2,REALTIME,0.0,0,88.0,0.0,False,0.0,6.0,0.0,6.83,0.0,0.0,0.0,1.88,LOW,weather,weather within operating envelope,1.88,LOW,98.12,"{'power': 0.0, 'fuel': 6.0, 'inventory': 0.0, 'weather': 6.83, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 0.0}"
2003-01-07,BHARATI,Bharati,SUMMER,47,100.0,17,11,9,6,2,2,HIGH_WIND,-1.98,34.58,62.47,72.08,992.32,4.39,20.63,2162.73,322.51,24.0,43.01,31.18,47.25,54.05,22.45,8.0,19.75,6.63,5.39,4.0,167.52,9.68,74.77,0.0,23.09,NORMAL,3,190.37,19.0,229.63,6.19,False,0.0,False,3748.6,232.21,232.21,554.27,3616.95,0.0,277891.91,1125.78,246.8,GOOD,0.31,False,0.0,En Route,1,46,0.0,False,False,False,-1,175.63,2749.5,6533.31,150000.0,3783.81,54.6,GOOD,97.23,RUNNING,False,False,False,93.33,100.0,0,0,0,0,1,175,28,0.0,0.0,0,0,ONLINE,22.75,2095,12.25,REALTIME,0.0,0,65.0,0.0,False,0.0,6.0,0.0,17.15,0.0,0.0,22.0,5.12,LOW,occupancy,high occupancy (>90%),5.12,LOW,94.88,"{'power': 0.0, 'fuel': 6.0, 'inventory': 0.0, 'weather': 17.15, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 22.0}"
2003-01-07,MAITRI,Maitri,SUMMER,42,89.36,15,10,8,5,2,2,NORMAL,-8.22,8.9,22.26,58.89,994.94,0.69,8.08,6012.82,411.47,24.0,41.65,12.56,43.5,48.3,20.7,8.0,18.5,6.63,5.39,4.0,155.02,7.72,74.83,0.0,18.92,NORMAL,3,168.59,20.0,181.41,5.33,False,0.0,False,3474.58,185.16,185.16,453.99,3371.77,0.0,262722.39,1049.76,250.3,GOOD,0.31,False,0.0,En Route,1,49,0.0,False,False,False,-1,155.61,2457.0,3616.0,120000.0,1159.0,48.8,GOOD,97.14,RUNNING,False,False,False,72.32,100.0,0,0,0,0,1,174,28,0.0,0.0,0,0,ONLINE,30.8,1060,4.2,REALTIME,0.0,0,88.0,0.0,False,0.0,6.0,0.0,6.91,0.0,0.0,0.0,1.89,LOW,weather,weather within operating envelope,1.89,LOW,98.11,"{'power': 0.0, 'fuel': 6.0, 'inventory': 0.0, 'weather': 6.91, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 0.0}"
2003-01-08,BHARATI,Bharati,SUMMER,46,97.87,17,11,9,6,2,1,HIGH_WIND,-1.93,74.7,106.48,74.97,984.7,2.8,23.06,2919.34,325.08,24.0,42.89,40.63,46.5,52.9,22.1,8.0,19.5,6.65,4.88,4.0,164.53,9.75,74.77,0.0,23.09,NORMAL,3,186.77,19.0,233.23,6.36,False,0.0,False,3682.03,234.06,234.06,554.27,3548.54,0.0,276787.33,1104.58,250.6,GOOD,0.31,False,0.0,En Route,1,45,0.0,False,False,False,-1,172.33,2691.0,6975.02,150000.0,4284.02,55.7,GOOD,95.79,RUNNING,False,False,False,99.64,100.0,0,0,0,0,1,174,28,0.0,0.0,0,0,ONLINE,22.75,2095,12.25,REALTIME,0.0,0,65.0,0.0,False,0.0,6.0,0.0,22.35,0.0,0.0,22.0,5.64,LOW,weather,weather within operating envelope,5.64,LOW,94.36,"{'power': 0.0, 'fuel': 6.0, 'inventory': 0.0, 'weather': 22.35, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 22.0}"
2003-01-08,MAITRI,Maitri,SUMMER,41,87.23,15,10,8,5,2,1,NORMAL,-7.09,53.92,75.37,61.04,991.69,0.66,8.47,6673.45,410.94,24.0,41.53,25.02,42.75,47.15,20.35,8.0,18.25,7.0,5.22,4.0,152.72,7.71,74.83,0.0,18.92,NORMAL,3,166.1,20.0,183.9,5.4,False,0.0,False,3424.58,184.92,184.92,453.99,3322.01,0.0,261688.07,1034.32,253.0,GOOD,0.31,False,0.0,En Route,1,48,0.0,False,False,False,-1,153.32,2398.5,3694.0,120000.0,1295.5,50.0,GOOD,97.21,RUNNING,False,False,False,73.88,100.0,0,0,0,0,1,173,28,0.0,0.0,0,0,ONLINE,30.8,1060,4.2,REALTIME,0.0,0,88.0,0.0,False,0.0,6.0,0.0,13.76,0.0,0.0,0.0,2.58,LOW,weather,weather within operating envelope,2.58,LOW,97.42,"{'power': 0.0, 'fuel': 6.0, 'inventory': 0.0, 'weather': 13.76, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 0.0}"
2003-01-09,BHARATI,Bharati,SUMMER,46,97.87,17,11,9,6,2,1,HIGH_WIND,-2.32,50.12,77.94,77.57,979.45,0.79,23.6,3269.46,324.84,24.0,42.76,30.08,46.5,52.9,22.1,8.0,19.5,7.66,5.01,4.0,165.67,9.75,74.77,0.0,23.09,NORMAL,3,188.21,19.0,231.79,6.31,False,0.0,False,3709.39,233.88,233.89,554.27,3576.06,0.0,275674.27,1113.06,247.7,GOOD,0.31,False,0.0,En Route,1,44,0.0,False,False,False,-1,173.65,2691.0,6576.34,150000.0,3885.34,55.7,GOOD,96.88,RUNNING,False,False,False,93.95,100.0,0,0,0,0,1,173,28,0.0,0.0,0,0,ONLINE,22.75,2095,12.25,REALTIME,0.0,0,65.0,0.0,False,0.0,6.0,0.0,16.54,0.0,0.0,22.0,5.05,LOW,occupancy,high occupancy (>90%),5.05,LOW,94.95,"{'power': 0.0, 'fuel': 6.0, 'inventory': 0.0, 'weather': 16.54, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 22.0}"
2003-01-09,MAITRI,Maitri,SUMMER,40,85.11,14,10,8,5,2,1,HEAVY_SNOW,-7.94,52.55,69.33,66.03,983.85,12.62,20.83,1555.95,154.95,24.0,41.4,47.66,42.0,46.0,20.0,8.0,18.0,6.67,4.6,4.0,149.27,2.91,74.83,0.0,18.92,NORMAL,3,167.98,20.0,182.02,2.08,False,0.0,False,3346.98,69.73,69.73,453.99,3359.59,0.0,260642.09,1045.98,249.2,GOOD,0.31,False,0.0,En Route,1,47,0.0,False,False,False,-1,155.05,2340.0,5000.0,120000.0,2660.0,51.3,GOOD,95.6,RUNNING,False,False,False,100.0,100.0,0,0,0,0,1,173,28,0.0,0.0,0,0,LIMITED,7.0,4120,28.0,STORE_AND_FORWARD,72.83,0,20.0,0.0,False,0.0,6.0,0.0,26.21,0.0,28.49,0.0,6.67,LOW,connectivity,communications degraded,6.67,LOW,93.33,"{'power': 0.0, 'fuel': 6.0, 'inventory': 0.0, 'weather': 26.21, 'water': 0.0, 'connectivity': 28.49, 'occupancy': 0.0}"
2003-01-10,BHARATI,Bharati,SUMMER,45,95.74,16,11,9,5,2,2,HIGH_WIND,-2.54,58.72,79.99,83.92,980.22,1.83,25.14,1906.99,325.98,24.0,42.62,36.6,45.75,51.75,21.75,8.0,19.25,7.73,4.5,4.0,162.73,9.78,74.77,0.0,23.09,NORMAL,3,184.73,19.0,235.27,6.44,False,0.0,False,3644.03,234.71,234.71,554.27,3509.88,0.0,274581.71,1092.56,251.3,GOOD,0.31,False,0.0,En Route,1,43,0.0,False,False,False,-1,170.46,2632.5,7280.45,150000.0,4647.95,57.0,GOOD,97.24,RUNNING,False,False,False,100.0,100.0,0,0,0,0,1,172,28,0.0,0.0,0,0,ONLINE,22.75,2095,12.25,REALTIME,0.0,0,65.0,0.0,False,0.0,6.0,0.0,20.13,0.0,0.0,22.0,5.41,LOW,occupancy,high occupancy (>90%),5.41,LOW,94.59,"{'power': 0.0, 'fuel': 6.0, 'inventory': 0.0, 'weather': 20.13, 'water': 0.0, 'connectivity': 0.0, 'occupancy': 22.0}"
